Date,JPM_Return,BAC_Return,C_Return,WFC_Return,GS_Return,MS_Return,STT_Return,BK_Return,HSBC_Return,BCS_Return,DB_Return,BNPQY_Return,SCGLY_Return,UBS_Return,ING_Return,SAN_Return,UNCFF_Return,NRDEF_Return,VIX_Level,Yield_Curve_Slope
2019-01-03,-0.014313681747030158,-0.016155531461542253,-0.018286910829624616,-0.007913709609153205,-0.01475683236264102,-0.01798246893086241,-0.03307661177440846,-0.01998790910589481,-0.011068881823737445,-0.00395515814838817,-0.01350537817070376,-0.0076490832194449415,0.0,-0.012830723226456404,0.003748788401581369,0.008829900678959501,-0.04913905073914258,,25.450000762939453,0.19899988174438477
2019-01-04,0.03620224784175491,0.04069172785736511,0.04773834818240327,0.029202393214523274,0.032159948609494955,0.040015448314783104,0.037135271969313995,0.028582546705063338,0.0287683710196785,0.0401347778133398,0.05178764367681049,0.05063817726216356,0.046810445411979415,0.03567554176396841,0.04928012777305755,0.036681685462847245,0.0,,21.3799991607666,0.30099987983703613
2019-01-07,0.000694687926983832,-0.0007823811322351754,0.008669350369405193,-0.00648586385364295,0.005525505483148551,0.009878445707542828,0.012386150282703172,-0.002298752638404159,-0.01354989921252531,0.010101119349933147,0.020906638093370435,0.005566221011003911,0.004562728201588242,0.01007373060457054,0.007098437014508386,0.012631775717080147,0.09264282448753483,,21.399999618530273,0.32899999618530273
2019-01-08,-0.0018874714242046243,-0.001957918543231674,-0.002701073858463512,-0.002101629454637063,-0.0036992676532243123,-0.006253560980530088,0.004298983793743682,-0.0037725551440755674,0.0026762669887924165,0.006261727137168299,0.004587189508884079,0.0025586884347196487,0.0015162947674182128,0.0023101877673022643,0.009678960693571874,0.00625645790270746,-0.010911074797957368,,20.469999313354492,0.31599998474121094
2019-01-09,-0.0016917373270960315,0.009752280213934462,0.016452489942705987,0.005454351896960315,0.006252717232306452,0.006972248931405264,0.022871004207428818,0.0029353511123833688,0.00677979218173822,0.0,-0.020809952469940347,0.0050978195726552695,0.0,-0.0030815347648473265,-0.00791219668632943,0.002076942465394744,0.022529305030903418,,19.979999542236328,0.3379998207092285
2019-01-10,-9.983195271626841e-05,-0.0011648843137848461,0.0010637048872729415,-0.0010465003886783418,-0.002666883919240268,-0.0019186476974476783,-0.004051246056207007,-0.006090336145170584,0.0021695057851252456,0.012407269836079345,0.005824013767262483,0.008018548912886812,0.0075472761188206975,0.010744417096027631,-0.0008830242382805805,0.012371072767244196,-0.01580078516882053,,19.5,0.3559999465942383
2019-01-11,-0.004792525183553718,0.011592001253907516,0.004419588161778847,0.0025098808231992674,0.005269895106158012,0.0019186476974476618,0.007489762456805497,0.01276803342663053,-0.0026523208350263507,0.0,-0.005824013767262448,-0.0037902913771610874,0.0,0.006088420760148351,-0.0008837397689619464,0.004090179567549625,0.03459987766714417,,18.190000534057617,0.33100008964538574
2019-01-14,0.010256653997796886,0.012977001158880898,0.03875251606556165,0.011423841547414023,0.010066428111811524,0.017573262787044155,0.021407521043592302,0.007046555755360374,-0.010679910577535276,0.01832661790299235,0.00233370350626323,0.014244004399696489,0.01344292105708466,0.006051481405971554,0.007926068346171959,-0.002042875506047156,0.0,,19.06999969482422,0.35000014305114746
2019-01-15,0.007303896170333867,0.006803057475066744,0.04073367592668413,-0.015610581006328143,0.00663614383576627,0.009372130773661492,0.002917476112431793,0.020240167412919275,0.0058394634165497014,-0.004854276217045451,0.005810737220281426,-0.00793476938821732,-0.005952376372704374,-0.00302111566357172,0.000876830252598532,-0.004098499205743014,-0.0617892870660483,,18.600000381469727,0.3280000686645508
2019-01-16,0.008032497217002872,0.06911847595143024,0.01311023284948204,0.026292835883753436,0.0911532936729101,0.036859049528069635,0.026020207311535815,0.020433375373960377,0.007733353893928547,0.01569116839583802,0.07369385640321638,0.02566349683816163,0.020680321284900608,0.023917346913760865,0.028511598257826468,0.010214709336782788,0.0330398492118401,,19.040000915527344,0.3680000305175781
