Bank,Eigenvector_Systemic_Importance,Betweenness_Highway_Score,Out_Degree_Infectivity,In_Degree_Vulnerability,Delta_CoVaR,SRISK_Shortfall_Billions
BAC,0.65231868144943,0.0,72.58,142.88,-0.036528,121.6
JPM,0.4625172844277399,0.09523809523809523,85.99,93.02,-0.038423,161.6
BK,0.37220445832559856,0.07142857142857142,57.34,55.01,-0.041851,0.0
MS,0.353900964788838,0.0,15.4,53.81,-0.03773,0.0
C,0.22295542388205036,0.09523809523809523,34.94,31.78,-0.036461,65.6
GS,0.16566678799261414,0.0,74.33,43.269999999999996,-0.03749,9.6
STT,0.12720349862641028,0.5476190476190476,55.86,18.19,-0.041172,0.0
WFC,0.05865758277264781,0.21428571428571427,62.72,21.2,-0.040633,25.6
