Date,BAC,BK,C,GS,JPM,MS,STT,WFC
2020-01-03,-0.020981604676356676,-0.012847298602606853,-0.01901539686005145,-0.011762313722439046,-0.013284285506692571,-0.016273010656649368,-0.01484440304989551,-0.0061583842283876615
2020-01-06,-0.0014336361652471249,0.009306195265200642,-0.003141417058158619,0.01018197176579024,-0.0007953258407560072,-0.0035219451208106283,0.015216197280959484,-0.006008061916642687
2020-01-07,-0.006621612454872775,0.01000091590306259,-0.008722679437669743,0.006561039034822726,-0.017146831786055996,-0.001961714436922249,0.013767872246513678,-0.00832081257576545
2020-01-08,0.010058803149317655,0.0011700981284252724,0.007589378111342743,0.00959334182691471,0.007770846079712831,0.012684109892380698,-0.005140721432768654,0.0030335577322072546
2020-01-09,0.001714270779104289,0.003307758156305102,0.009031548253553331,0.02015225449777208,0.003644400445824396,0.009457138216252077,0.017396083221873578,-0.0017052704137512835
2020-01-10,-0.008312958819307601,-0.018428245697733,-0.01041908575218358,-0.0020216766679363196,-0.010017747575725093,0.0028770414161246754,-0.014945068982766851,-0.004371589792136897
2020-01-13,0.009168993445205501,0.006704537450171655,0.01751148807677564,0.012722564645153825,0.008270111261732405,0.010858255482339199,0.0047629206031087395,-0.007456312222897547
2020-01-14,0.007388704498594752,0.002551719902538137,0.015502526581286317,0.0018336395923596969,0.011594257850586773,0.0015144752223879016,-0.006723251161130227,-0.05543235924983961
2020-01-15,-0.018574594840324195,-0.006292532381883576,-0.008213433529372262,-0.0018336395923597465,-0.015098984175519753,0.0015122730701935681,-0.003932916253073206,-0.020078860668383058
2020-01-16,0.0014411383351375293,-0.08155658637962238,-0.0029586010891098115,0.018225323082441406,0.0038689348339185927,0.0640188498742731,-0.0008620968339762485,0.019063841541298338
2020-01-17,-0.00028803582036514644,-0.011625350450529016,0.0014805719203233546,-0.0010416189315889783,0.0068979486665931575,0.01878067299089712,0.0173490010179821,-0.001422576857234663
2020-01-21,-0.013049542119583639,0.012908632970501665,-0.015153732700470598,-0.015187270717873085,-0.009889714700673157,-0.02803648839391055,-0.015256133809656658,-0.004891711164965664
2020-01-22,0.002914816423609147,-0.0010693368151970992,0.0024998774641019268,0.005479438103230386,-0.0011696413661040582,-0.0010733809622217318,-0.00951519685667746,-0.007794767855065098
2020-01-23,-0.007009571598627626,0.006186745181092748,-0.0037523437712302593,-0.005968043852422945,-0.001025287211032722,-0.005925495458819875,-0.000993332918286672,-0.007026065186377559
2020-01-24,-0.017144921369207696,-0.016404423949106878,-0.017444590105181016,-0.015015648581889864,-0.025141204601399576,-0.01780559537596411,-0.02670208665229434,-0.013572081255067344
2020-01-27,-0.020787093215948106,-0.019780684131549136,-0.022047017108924843,-0.01574827769448417,-0.008447014825697985,-0.026752479051004505,-0.03758818825005439,-0.009928879315630358
2020-01-28,0.011802590182357435,-0.0017773240576066081,0.006885760953719567,0.01847281351748795,0.01801450273058329,0.016989091339079075,0.013820548836244034,0.005716217439970691
2020-01-29,-0.006943855315966353,-0.011406091721563708,-0.009888459518096188,-0.010192743662267063,-0.0014888362073477424,-0.00631394655200656,-0.0035353596526104584,-0.002113813768976257
2020-01-30,0.014137797084443822,0.020922543794469096,0.012345170073699188,0.016561934544270147,0.012290869179183168,0.009146095558585867,0.017941172941495807,0.013448489898039297
2020-01-31,-0.019605222351320378,-0.01375046566281137,-0.03317559402385659,-0.026481122014733925,-0.026320228992763747,-0.029413801762359595,-0.025843777456065278,-0.02045386784694293
2020-02-03,0.004255240909919676,0.009556436247358822,0.009629460106750583,0.005285912122626728,0.007601747597991145,0.006484609744039199,0.006064325226981436,0.003827544917533709
2020-02-04,0.01952284843917194,0.01623558553170299,0.01807120822034449,0.012184031636991636,0.014293472163702777,0.026638514372755138,0.021452819754627782,0.00296638660038279
2020-02-05,0.03190691293115187,0.02216809612783701,0.030256207117030382,0.00970743901389804,0.016857399639392777,0.017797139070794183,0.029156822707951193,0.021974431682645363
2020-02-06,-0.0011531025147724736,0.01184966860054382,0.0015208479743427027,-0.010203419758387353,0.00014557517775960134,0.00036334504581681014,0.0028692158637717326,0.003758827109299753
2020-02-07,-0.001731957057669862,-0.006118833060784246,-0.0035520281324986193,-0.01592294900665668,-0.0032024898953612827,0.00036363367530702886,-0.01417739918753603,-0.0029223723844751205
2020-02-10,0.0023088033157987937,-0.01621561054921574,-0.0026723558562277484,-0.002692673030566979,0.004146507607072396,0.005798136365021678,-0.00012661754668742196,-0.0014644416430844352
2020-02-11,0.0023034850195907423,-0.001506895535707692,0.007742501184086375,-0.0037988712534001937,0.0018860859905405086,0.007738730271576417,0.008180851800783576,0.004594837499147022
2020-02-12,0.004304489040205082,0.0030115237534428458,0.003030177871889987,0.009218754213591142,0.0,0.007145503587284657,0.008114584059320779,-0.004175887302432331
2020-02-13,-0.0002861299731644395,-0.011448596901399172,-0.004168308625873443,-0.00125759890309715,-0.0008698576747512662,-0.004459849345986443,-0.01983968642900665,0.006881258211767362
2020-02-14,-0.0017202961024776915,-0.0028281846955911932,-0.002662338108493693,-0.005342780914339972,-0.0030508685589890313,-0.0016106097613871066,-0.012763743222935268,0.0020761281276327325
2020-02-18,-0.016782819650873054,-0.013378553394966316,-0.015475781667429257,-0.016458195021690453,-0.013328634660449428,-0.0057471109590288266,-0.012537936879869082,-0.025839047593211793
2020-02-19,0.01304556374372818,0.013814149141596588,0.006039630553579166,0.017512252645265354,0.013546933167344477,0.014129134368746297,0.024159361097279335,0.0021257171554579395
2020-02-20,0.003737255907145006,-0.001961776317442464,0.002175504590949343,-0.019572662030035902,0.0,-0.0465287140650975,-0.011107504520548338,0.005295030563947722
2020-02-21,-0.014160017423484498,-0.017387752711731055,-0.023018837539057944,-0.009107532404093685,-0.012294579184331455,-0.02505567374197176,-0.009805817200043119,0.007575653977179851
2020-02-24,-0.04860107318197862,-0.0433320902462072,-0.052506016384241995,-0.026717774706648618,-0.027243497775351393,-0.05368593823816456,-0.04129146395124748,-0.027847727679635236
2020-02-25,-0.0517275087267418,-0.036359112495686734,-0.04368105470715149,-0.03134918921871983,-0.04566991676768774,-0.03377624329576193,-0.043635429753012156,-0.02775770232865079
2020-02-26,-0.014584615355419365,-0.005304064968296354,-0.018167886042960237,-0.008445048424204306,0.003005108213350669,-0.016584606370293485,-0.010071710114578183,-0.02195939530830644
2020-02-27,-0.05021133680391184,-0.009959878738075086,-0.05626145924047718,-0.0478892757665059,-0.04250465783154822,-0.03950892122659119,-0.010894815030116634,-0.03856856537441518
2020-02-28,-0.02186451542176911,-0.02621966414498562,-0.015480071791287846,-0.018114649242652266,-0.044305783679166925,-0.00840322971153616,-0.018474372956279125,-0.03889115425107454
2020-03-02,0.030069614460293822,0.02621966414498559,0.06305042475913748,0.042420968523625674,0.04554090061026797,0.031692830767620535,0.008479540855843605,0.03393389238196589
2020-03-03,-0.056737935689709466,-0.053402828817343095,-0.038303615112016,-0.02925896253821516,-0.03824680184515433,-0.04578244678837111,-0.042224435775122394,-0.041798127619022664
2020-03-04,0.022801056368293424,0.04210894440013476,0.03534005604559282,0.025767881963995473,0.02440883399521203,0.01874214364567314,0.017313578077004333,0.021238157602274682
2020-03-05,-0.05202086350543571,-0.030077370156576796,-0.059614330134733294,-0.04884058383831164,-0.05030569330997365,-0.06036204826721264,-0.07112770741329413,-0.06228648534181796
2020-03-06,-0.040775722407712406,-0.03179808625925353,-0.03542869384990485,-0.030336233566745696,-0.05306352619475781,-0.01776662983594913,-0.03705633723756642,-0.04764656007253461
2020-03-09,-0.15902418140428412,-0.08550814468699715,-0.17639903759987893,-0.10972016894774576,-0.14555190471878895,-0.10951161499200257,-0.13265258908604796,-0.13272309695858742
2020-03-10,0.07381456037266984,0.044762766058964676,0.07876901519608176,0.06464352410699856,0.07482588082928997,0.05195947016747707,0.07444693279519324,0.07700667675003539
2020-03-11,-0.040627789821833495,-0.06645541500792862,-0.09012397331120994,-0.06998122280760612,-0.048214204796760744,-0.0689027455402117,-0.04580664664159927,-0.08163551444723618
2020-03-12,-0.1001298621671711,-0.14715769961540998,-0.16047123503177607,-0.13169666567804023,-0.08602658326588684,-0.16346059865270451,-0.1187987854462713,-0.17277879500738347
2020-03-13,0.16378581339108803,0.14510880319203776,0.16538143518050272,0.16195137748931687,0.16562034634070338,0.18040387402543914,0.20146396750388204,0.12721556793968314
2020-03-16,-0.1672046683242415,-0.15669345885503977,-0.2144143277824504,-0.13588037424864685,-0.16210585913449627,-0.16960323662264853,-0.20981112775561508,-0.15328782585349784
2020-03-17,0.07263916288834942,0.02671332389611822,-0.023085320249602755,0.02559732096222049,0.05931885732078867,0.06542684463617775,0.045271397141316325,0.11164248833883814
2020-03-18,-0.05566058867685321,-0.04121120879618416,-0.09971728538813394,-0.1250411966818569,-0.11123178842129562,-0.09427496223041806,-0.09908246329179178,-0.05230618509886001
2020-03-19,0.01952892942089884,0.04221184711823751,0.08444583039769211,0.06544420330063341,0.016668154835650387,0.005513241492446168,0.030704585710009297,0.00602752276340658
2020-03-20,-0.0749061735670897,-0.031490528595168,-0.040674731829938394,-0.07700934469593239,-0.021327749732611517,-0.04126673880562373,0.0008575551892332698,-0.06536382600338463
