Date,BAC,BK,C,GS,JPM,MS,STT,WFC
2020-01-02,30.4294490814209,42.320762634277344,64.66643524169922,201.23204040527344,118.43032836914062,42.6046028137207,66.10468292236328,45.566650390625
2020-01-03,29.79764175415039,41.78053283691406,63.448394775390625,198.8789520263672,116.86746978759766,41.916908264160156,65.13064575195312,45.286895751953125
2020-01-06,29.754953384399414,42.171165466308594,63.2493896484375,200.91427612304688,116.7745590209961,41.76953887939453,66.12926483154297,45.015625
2020-01-07,29.558578491210938,42.59503173828125,62.7000846862793,202.23681640625,114.78931427001953,41.687679290771484,67.0460205078125,44.64261245727539
2020-01-08,29.857402801513672,42.644901275634766,63.17774963378906,204.186279296875,115.68479919433594,42.219818115234375,66.70223999023438,44.77824401855469
2020-01-09,29.90863037109375,42.78619384765625,63.75092697143555,208.34283447265625,116.10717010498047,42.62099075317383,67.87274932861328,44.70195007324219
2020-01-10,29.66103172302246,42.004940032958984,63.09014892578125,207.92205810546875,114.94984436035156,42.74378967285156,66.86592864990234,44.5069580078125
2020-01-13,29.93424415588379,42.28750991821289,64.20468139648438,210.58425903320312,115.90443420410156,43.21044158935547,67.18516540527344,44.176334381103516
2020-01-14,30.156238555908203,42.39555358886719,65.20777130126953,210.9707489013672,117.2560806274414,43.27593231201172,66.73497772216797,41.79417037963867
2020-01-15,29.601268768310547,42.129615783691406,64.67438507080078,210.58425903320312,115.49893188476562,43.341426849365234,66.47303009033203,40.96335983276367
2020-01-16,29.643959045410156,38.830047607421875,64.48332214355469,214.45741271972656,115.9466552734375,46.20683670043945,66.4157485961914,41.75177001953125
2020-01-17,29.635421752929688,38.381248474121094,64.57886505126953,214.23414611816406,116.74921417236328,47.08283233642578,67.57804870605469,41.69241714477539
2020-01-21,29.251205444335938,38.87990951538086,63.60763168334961,211.00509643554688,115.60028839111328,45.7811279296875,66.55489349365234,41.48896789550781
2020-01-22,29.336591720581055,38.838356018066406,63.766841888427734,212.16445922851562,115.46515655517578,45.73201370239258,65.92461395263672,41.16682815551758
2020-01-23,29.13167381286621,39.079383850097656,63.52801513671875,210.9020233154297,115.34683227539062,45.461830139160156,65.85916137695312,40.87860107421875
2020-01-24,28.636470794677734,38.443538665771484,62.429405212402344,207.75885009765625,112.48302459716797,44.65951919555664,64.12385559082031,40.32754135131836
2020-01-27,28.047346115112305,37.69057083129883,61.068084716796875,204.51263427734375,111.53688049316406,43.48060607910156,61.75829315185547,39.929115295410156
2020-01-28,28.380338668823242,37.62364196777344,61.49003601074219,208.32566833496094,113.56436920166016,44.22561264038086,62.61775207519531,40.15801239013672
2020-01-29,28.18395233154297,37.19694137573242,60.88499069213867,206.21304321289062,113.39541625976562,43.9472541809082,62.396766662597656,40.07321548461914
2020-01-30,28.585241317749023,37.983394622802734,61.64128494262695,209.65676879882812,114.79774475097656,44.351043701171875,63.52634048461914,40.615779876708984
2020-01-31,28.0302791595459,37.46467971801758,59.62984848022461,204.1776885986328,111.81565856933594,43.06550979614258,61.90561294555664,39.7934684753418
2020-02-03,28.149808883666992,37.824424743652344,60.206825256347656,205.2598114013672,112.66889190673828,43.345680236816406,62.282169342041016,39.94607162475586
2020-02-04,28.70477294921875,38.443538665771484,61.304725646972656,207.7760009765625,114.29088592529297,44.51586151123047,63.63273239135742,40.06474304199219
2020-02-05,29.635421752929688,39.305274963378906,63.18791961669922,209.80279541015625,116.2338638305664,45.315208435058594,65.51537322998047,40.95488739013672
2020-02-06,29.601268768310547,39.773799896240234,63.28409194946289,207.6729736328125,116.25078582763672,45.3316764831543,65.70362091064453,41.1091194152832
2020-02-07,29.550045013427734,39.53117370605469,63.0597038269043,204.39239501953125,115.87908935546875,45.34816360473633,64.7786865234375,40.989158630371094
2020-02-10,29.618349075317383,38.895320892333984,62.89141082763672,203.8427734375,116.36058044433594,45.61186218261719,64.7704849243164,40.929176330566406
2020-02-11,29.68665313720703,38.836753845214844,63.3802375793457,203.0698699951172,116.58025360107422,45.966209411621094,65.30253601074219,41.117671966552734
2020-02-12,29.814714431762695,38.953887939453125,63.57258224487305,204.95057678222656,116.58025360107422,46.29583740234375,65.8345947265625,40.946327209472656
2020-02-13,29.806184768676758,38.51046371459961,63.308143615722656,204.6929931640625,116.47888946533203,46.08982467651367,64.54132843017578,41.229061126708984
2020-02-14,29.754953384399414,38.401702880859375,63.13982009887695,203.60227966308594,116.12406921386719,46.01565170288086,63.722774505615234,41.31474685668945
2020-02-18,29.259748458862305,37.89136505126953,62.170204162597656,200.27877807617188,114.58656311035156,45.751953125,62.928810119628906,40.260887145996094
2020-02-19,29.643959045410156,38.418434143066406,62.54682540893555,203.81700134277344,116.14942169189453,46.402976989746094,64.46764373779297,40.346561431884766
