Date,ACGBY,ANZGY,BAC,BACHY,BCS,BMO,BNPQY,BNS,C,CICHY,CM,CMWAY,CRARY,DB,DBSDY,DNKEY,GS,HDB,HSBC,IDCBY,ING,JPM,MFG,MS,MUFG,NABZY,NRDBY,RY,SAN,SCBFF,SCGLY,SMFG,STT,TD,UBS,UNCFF,WEBNF,WFC,SYSTEM_RETURN
2021-07-29,-0.027204379622214062,0.004374367269968245,0.014321607350564647,-0.025029519720462516,0.025420941956614717,0.012407624945090246,0.021183669464573774,0.013053338843224021,0.010372038199211186,-0.0411990755670089,0.011335562753397655,0.00706992952650459,0.018718968149475462,0.0283036641878652,0.016580526071461116,0.013453165032679154,0.008832507324084672,0.01328285734583931,0.003961734507778216,-0.03267400646062932,0.018634239903252903,0.008533241039096286,-0.003490326163259429,0.009496633081923814,0.0,0.0,0.004214051216880138,0.009946349214539229,0.03226076796822392,0.0,0.01521587647159558,-0.00292827826706297,0.019747963791707335,0.011076187967667702,0.020795892383578804,0.0,-0.017208474653962528,0.021520157855021985,0.004197331845272641
2021-07-30,-0.004807687510149802,-0.00974656012542967,-0.008307510301566715,0.0,-0.017215736606707187,-0.008171240195937105,-0.015927452705954238,-0.01257275981701884,-0.010006072133285108,0.008664331839188633,-0.007456590142528816,-0.006251799675165691,-0.011477995975788973,-0.03069879189643661,-0.0023203119898721225,-0.01458232017769285,-0.0070973176285115385,-0.009449498394948337,-0.009026885825742513,-0.006303536492912024,-0.015504284407741804,-0.008005721432769678,0.0034903261632594725,-0.0031206786244725726,-0.014953555436585903,0.0020920150491693687,-0.006751044927781368,-0.008957148307790472,-0.029532280630475295,0.0,-0.010118049929194071,-0.011799621980266,-0.009366019196664896,-0.010925867467594054,-0.002424263373985667,0.10581060284446282,0.0,-0.012116330976774196,-0.005420713608261166
2021-08-02,0.0107850338163396,0.009261557306499336,-0.010482504147126877,0.0,-0.0010220345093909919,-0.015974355532464905,-0.010540295013716918,-0.007555656754015322,0.0016255177615263703,-0.001438771546200695,-0.008293158148943408,0.014348120925975188,-0.005788680156456333,-0.008832047549001678,-0.01336296066673262,0.016807010815904473,0.008790938468364753,0.002406057915296105,-0.005091032453339226,0.006303536492911985,-0.004698508131460064,-0.0040270812369374315,-0.003490326163259429,0.0026012875749861285,0.011236054314511036,0.01349251169495031,-0.005945077504976053,-0.006447366428218335,-0.005464594341304516,0.0,0.008438653485338697,0.004441153318764654,-0.0014928119062726875,-0.0070978346701497125,0.0036342608383184228,0.0,0.0,-0.0032702154603787043,-0.001844505670060361
2021-08-03,0.0035692378621847245,0.008695462856459632,0.0154233936187071,0.0068884999071074735,0.020243569217414388,0.010240991861759556,0.016094955929394594,0.006754485280843618,0.016836432224561777,0.011453197595993616,-0.007488073398285493,0.010560668891587329,0.014409402977675978,0.004827139872934376,0.004920163415839127,-0.01680701081590454,0.00572126370497771,0.019458809398854086,0.015554878386226566,-0.0008980761333570727,0.021739789618509975,0.011313616055580055,0.01043490479578467,0.0038374340596530818,0.001860524541617306,0.0061666551450910954,0.016054599042061943,0.0025838658966197913,0.024358582975519683,0.0,0.06348767448223942,0.004421590391464021,0.011540945545926891,0.011302877214830335,0.009626976142373489,0.0,0.0,0.022458570386702473,0.008169961338918062
2021-08-04,-0.011947658859760119,-0.0038552649708903943,-0.007289710647160955,-0.0022909239362748058,0.002002237914265565,-0.0034357313720158296,0.0,-0.0025678201877360734,-0.005240229930120065,-0.002851073083067607,0.004273386580367904,0.004908100712154341,0.008547141388763283,-0.011299668803161939,0.010321713142438486,-0.0022625140082914016,-0.0065944266055977365,0.017862611093113205,-0.0017965463533432561,0.0,-0.003076987500139043,-0.010850789234492807,-0.020979935310777756,-0.0032139938818816862,-0.009337151003101134,-0.01029888389346125,-0.0016777658921467878,0.005740273038244825,-0.005362040920195584,0.0,0.01564974057094543,-0.014815105595400379,-0.016379568250664226,-0.004807019276644778,-0.006006007097805821,-0.04470945521310368,0.025429748016660255,-0.014627125160397061,-0.004643150661295458
2021-08-05,-0.007237606586854482,0.010566777392574491,0.0194078964463883,0.0034344207808875834,0.01093981087794049,0.0153687215950993,0.010372791790276618,0.011821281869326437,0.01693123637842282,-0.0014284946055411571,0.010216417235558899,0.014972698891895135,-0.007117484310590836,0.018496836241078733,0.00802789617185378,0.0045197726581922195,0.016899622327929836,0.004619461130961492,0.010729887153930646,-0.0008988833991387859,0.013012256621730691,0.012549954706411667,0.010545030514993033,0.015866620582446565,0.007476626461483757,0.016427683563133327,0.012515842442627077,0.010113639137115353,0.0026846143911461247,0.07339812637466407,0.0031008443669174246,0.013343388721103291,0.010339989380525511,0.009143564616206187,0.008398372138729784,-0.0008472455993574054,0.005986441382980253,0.022380773932452747,0.005987485990419113
2021-08-06,-0.012180424292369962,0.0047666098672791025,0.028548155698457624,-0.020785948171321993,0.018618986946258388,0.0033833294160073774,0.03173863044085599,0.006016359719559105,0.019608377313551188,-0.007893937799791221,0.010965626045500892,-0.0027413712629264573,0.02538927270368524,0.011881266016480032,0.0020789027861472693,0.0022523225158214265,0.03475221035065853,0.002572377647708405,0.01061579494270427,-0.01358105988565011,0.03217634625515502,0.028007645203264694,-0.0035026398476072705,0.019235462313869873,0.009267829908910433,0.0030502804231050855,-0.0024907795102482293,0.004386451959199019,0.03166489656263239,-0.052103285766693076,0.007710122771692852,0.008797693454643669,0.028285092364148643,0.007136470693876295,0.00892064057932346,0.02096510673393118,0.0,0.03718062970215764,0.0016738645485288822
2021-08-09,0.018215488546334577,0.009936201969084407,0.01286836468009698,0.011601072987139322,0.006773096761724834,-0.0007950052588656799,-0.0021892010738330165,0.0009467524905025088,0.00631193918235275,0.020678180338764764,-0.004269209379508719,0.007812503032361187,-0.0013936920461659604,0.007843194405682414,-0.00043726746527761887,0.005608381318021204,0.004989105474034474,0.016094710764033453,-0.0007042670281721488,0.018962280208828262,-0.0029498134608258245,-0.0010797287084279414,0.01047123986028911,0.010076187048769164,0.003683362177850411,0.0050631550416832235,0.0016612911692924642,-9.702623305436316e-05,-0.007822721267374953,0.03190056348399649,-0.0015373123795106992,0.001458835347014458,0.006313357780153259,-0.003710413759633575,-0.0017778251351125314,0.0,0.0,-0.0024634758092083966,-0.0009403502649549345
2021-08-10,-0.012106771764781893,0.0014111976698944935,0.01851457672792559,-0.005783635665471332,0.005769158852425714,0.015097171979808676,-0.006596589967181719,0.01626807985056823,0.020208422721352242,-0.010642121475229624,0.00690704143321326,0.018504981388808975,-0.0013957362767279564,-0.006269626548006569,0.01916963824990396,-0.006733945400373334,0.020029129108575676,0.0026574102918677203,-0.0017626114249272838,-0.013507798704255827,0.0,0.012192388101501445,0.006920548692473492,0.012822077351276846,0.00366975314838905,0.004032255156820593,-0.004158166109000761,0.011893987978585433,0.01041680373379544,0.012480733664860907,-0.006172810392182238,0.005814006729840481,0.00780873663025763,0.017540255139727737,0.004143309658654638,0.024591594078529774,0.0,0.019943672769797225,0.0009921869538634502
2021-08-11,0.028813516655761526,0.01678372215134155,0.01247305226435887,0.013825014005041074,0.008592024547440721,0.010812155054339505,0.020278402594811666,0.005724496800791424,0.01792566391303417,0.024657764302892096,0.006606316592669185,-0.004850156118692344,0.006958986412513783,0.017920268694290708,-0.008186228480990767,0.008968578942437792,0.014406513635544543,-0.004521775632378443,0.010180802271938362,0.029479517226019488,0.013934981204916,0.011859269492256611,0.02047841364394487,0.017871399410151215,0.03243522018013995,0.012000237963822047,0.00995049420305755,0.006992547390560428,0.017972207612862723,0.0,0.016884516363935093,0.028573268045588688,0.007965466758467267,0.011187888332990097,0.008235279019666752,-0.004056913968791247,0.0,0.020541077665558332,0.0012749307180154837
