Date,ABN.AS,ACGBY,ANZGY,BAC,BACHY,BCS,BK,BMO,BNPQY,BNS,C,CICHY,CM,CMWAY,CRARY,DB,DBSDY,DNKEY,GS,HDB,HSBC,IDCBY,ING,JPM,MFG,MS,MUFG,NABZY,NRDBY,RY,SAN,SCBFF,SCGLY,SMFG,STT,TD,UBS,UNCFF,WEBNF,WFC
2019-01-03,0.008246437831872953,-0.006466399045042246,0.0005921972330425134,-0.01615525386760228,-0.008478807003304297,-0.003955158472185544,,-0.001669214642251634,-0.007648887683173285,0.0003977716869556426,-0.018286601303372958,-0.011827001352000122,0.0019884350152597407,-0.010944631486155341,-0.0038095973679637173,-0.013505377241400825,-0.022508835619327584,0.0010158344365966585,-0.014756939341806647,-0.018006288514479076,-0.011069027370901447,-0.013634893543278131,0.003748994878750215,-0.014313614299408231,0.006535935719933104,-0.01798199391699238,-0.012170407144645227,-0.005956143555929985,0.003539694854730357,-0.004216797116924452,0.008830034132668082,0.0,0.0,-0.012012233321657188,-0.03307663365568975,-0.005786238760300631,-0.012830923340401205,-0.049139045225973454,0.0,-0.007913707232503007
2019-01-04,0.029512034525764726,0.024715300788081627,0.030897271045480942,0.040691631119615816,0.023376451852190942,0.040134938644520855,,0.021787387382967455,0.05063811175061616,0.017144513621214996,0.04773834356245997,0.0344649220192309,0.017590516921760037,0.037117821264261525,0.055673184955411605,0.051787640180507855,0.02769865975887058,0.04564302582289328,0.03215964121477641,0.017137705008373735,0.028768658468142166,0.028492013798937503,0.04927999376667674,0.03620204547754059,0.04770383004062467,0.0400148714545912,0.04976144422006502,0.034061035669041825,0.047162348781244826,0.024326692438540208,0.036681430430517414,0.0,0.04681034507731821,0.051519926328535026,0.037135286893221923,0.01568562663679246,0.03567554176396841,0.0,0.0,0.029202189314994347
2019-01-07,0.008407444061897761,-0.007259765820762799,0.00914310700987447,-0.0007821128963497755,-0.002776479300290679,0.010101040547860221,,0.004005061703317303,0.005566282942076071,0.010109274200167162,0.00866905767985033,-0.006067964511968235,0.012671693856010344,0.003272074335740902,0.0018034230705680145,0.020906443477540868,0.019365654368503564,0.0038718724359643702,0.005525713811767552,-0.005129718385346016,-0.01354982697105945,-0.0028129249133908496,0.007098567257373392,0.0006947576951643374,-0.021978910306974818,0.009878462622662088,-0.007797227835288148,0.008050531444393763,0.0033651944195720617,0.004115020587784275,0.012632093707169955,0.03963541259396464,0.004562828536249602,-0.0014357235520795154,0.012385953459345272,0.0029505609400915997,0.010073827421440128,0.09264249991029169,0.06799865419377278,-0.006486256203244366
2019-01-08,-0.0013965231489627811,0.00635507997377862,0.0073672427868273225,-0.0019583656617532816,0.0027764793002905365,0.006261727137168299,,0.011626859853845163,0.002558502958011281,0.008857891388982887,-0.0027010720768179757,0.0048572941762549575,0.004486916499131854,-0.00038444607942750595,0.008968650550306118,0.004587382468944654,0.0014088780300082707,-0.010684846262391773,-0.0036992684168525975,0.00734788974731673,0.0026761955161628327,-0.0028209706809539264,0.009678831538006362,-0.0018872532177524656,0.003169598788589809,-0.006252967368159324,0.01167316084705406,0.010256462546966107,0.0022370204828390623,-0.00014133293956672508,0.006256394944947419,0.01669914782332183,0.0015162947674182128,0.004301073241855675,0.004299022475347777,0.003921200643918375,0.002310187543895205,-0.010910653292876198,0.0,-0.0021011378103346946
2019-01-09,0.0009311593664293076,0.017048515476646892,0.020677060460769673,0.009752458472460082,0.00736652735024635,0.0,,0.01582399926259465,0.005097758742147744,0.022745731852054803,0.0164526997074073,0.016817248185769733,0.01812554809390028,0.0034542218129729597,0.003564986844117946,-0.020810082065268052,0.0173117257683916,-0.016740913575467364,0.006252821281300108,-0.008804854238257933,0.0067795798676207825,0.028543450501424077,-0.007912261972590637,-0.0016919229142267542,0.006309135044522943,0.00697191403484509,-0.0038759330117659188,0.00902940740275781,0.007790945053556023,0.025728530925957987,0.002076942465394744,0.0025445653685525135,0.0,0.001429566063111738,0.022871292356261723,0.019083423485805773,-0.0030817282498969375,0.022529093128628025,0.0,0.0054540570738931295
2019-01-10,0.00972449522717734,-0.012533762395546197,0.006615278448424334,-0.0011650618064829507,0.0,0.012407040134351982,,0.005744690867762234,0.008018733289030435,0.007654408464789335,0.0010634057615489195,0.0071215027596932415,0.003385766963184969,0.0,0.0053238702208086245,0.005824079239122362,0.010874904895521174,-0.014000120836443284,-0.0026666781250370007,-0.002140094731166794,0.0021695060911763094,0.0006862909509383848,-0.0008828946867549077,-9.972352776518513e-05,0.003139743837745226,-0.0019182252077719693,0.01541450046320474,0.010061684379562553,0.005527889378317239,0.007015528425867193,0.012371257770195848,-0.0025445653685524762,0.007547177142076938,0.012775237053961329,-0.004051333377483671,0.007147804609691294,0.010744609843721683,-0.01580078516882053,0.023128790723716618,-0.001046500491202541
2019-01-11,0.006430949890397262,0.0,0.0,0.011592002277311452,-0.0018363600929406237,0.0,,0.0012881433735628571,-0.0037902913771610874,0.0,0.004419904825709717,-0.005931201577487872,0.006364325260759691,-0.005570883452917974,-0.003545952631273979,-0.005824079239122324,0.006414028599150667,0.006024250097942942,0.005269894564606284,-0.0003897911508431223,-0.0026523212092780936,-0.0013726218247102884,-0.0008836748786608152,-0.0047926666368094065,0.0,0.0019182252077718349,0.005719835767411111,-0.004459316030091011,-0.003313164858593748,-0.002195737767131391,0.004089871732711215,-0.01282058007614949,0.0,0.00842699914901177,0.007489490186960394,-0.0017342038485104667,0.006088324904041499,0.03459987766714417,0.0,0.0025101743913502838
2019-01-14,0.002286802145187832,-0.004514753081100656,0.0010982915515626134,0.012977262219388863,-0.004606435650258774,0.01832684760471978,,-0.0014313479409328892,0.014244125067386865,-0.0027937305771746296,0.03875237086619273,-0.011367169789250155,-0.004737946413135282,0.0011550450789141436,0.0035459526312741183,0.002333703658876962,-0.0012247057745568364,0.0019998599681084078,0.010066122686645697,-0.017494047668068616,-0.01067948367133889,-0.011744533635966847,0.007926003455870623,0.010256454382412053,-0.0031397438377451523,0.017573477405530852,0.0,0.0,0.00220992961881595,0.0012359547397373342,-0.0020429372987763148,0.0,0.013443117688929144,0.0013975981153198974,0.0214075329185843,-0.003090096650711355,0.006051481405971554,0.0,0.0,0.011423356008433827
2019-01-15,0.008642196822532457,0.006314874582259036,0.007109604878020667,0.0068026260226473016,-0.0018482405567903388,-0.004854276217045451,,0.01110971242673192,-0.007935133313891254,0.006321020057170527,0.04073390941814818,0.004203150336624966,0.005732847102380201,0.009575094257159805,0.0035335652915391533,0.005810672657935948,0.0069223491488011974,-0.022223183234767425,0.006636548358323257,0.013882592904730692,0.005839390765451007,0.0034685648807417737,0.0008765729662160235,0.007304350209435048,0.012500176473862009,0.009372207799090539,0.0018991690705120227,0.002232293206178039,-0.005534108038642251,0.006019019305082332,-0.004098252786850605,0.007711942132629742,-0.005952474027805285,-0.0013975981153199109,0.002917484329201255,0.011156088913227582,-0.00302111566357172,-0.06178917892472037,0.0,-0.015610291015632518
2019-01-16,0.02106291962694807,0.026621053840074422,0.010840379156014242,0.06911865380959303,0.013780650638816568,0.015691317128848498,,0.01322656441123778,0.025663858643402697,0.01032455611135749,0.013109947895121779,0.0047817109960129455,0.01112222473588741,-0.001717021066879884,0.031252617794032066,0.07369404661194695,0.008351112644121075,0.0030595323036795947,0.09115309208276695,-0.0006844443942159925,0.007733211370818057,0.010334087977002086,0.028511855544209083,0.008031999019165749,0.0,0.036858847916748504,-0.0038022462821719867,0.0,0.0033241784198263006,0.006932095453104306,0.010214464043647188,0.013986328301057959,0.020680128830109945,0.0,0.02602028560225024,0.018947394632930468,0.023917439654889468,0.03303974107051209,0.0,0.026292835883753436
2019-01-17,-0.0022196581623636588,0.002623439610572129,0.009122518726824359,0.018802604486018195,0.008178101859943106,0.002392183933673079,,0.007936135758424183,-0.026502659894964767,0.010581930906875465,0.0044925027668627745,0.007130156857565777,0.0053923549746279125,0.007418108858004969,-0.015504223100538322,-0.04064256754871505,-0.005245312482653172,-0.006128535617472117,0.010147129464021016,0.006534281966145708,-0.0012046370568262875,0.002737836827757193,-0.011996763496158537,0.00408926302336755,-0.0031104460562682776,-0.04505479983930842,0.0038022462821720965,0.005558545460136599,0.00220992961881595,0.004729057302570803,-0.010214464043647236,0.0,-0.04791317622885226,0.005578780596711045,0.008196661168235817,0.008782712154466594,-0.0036996011831035005,0.0,0.0,0.005908147664003538
2019-01-18,0.01412191863640844,0.006962447361602341,0.00532770733015634,0.01063666599673804,0.004514780434417967,0.02361386663386584,,0.011581118421433105,0.01747131703633949,0.00253780966035825,0.010351110486300686,0.01118646829596311,0.010820276345025982,0.005857350634210192,0.012079431411630703,0.024364417151908565,0.008727097334535366,-0.011334673497471161,0.01718050926695726,0.0046553234554787765,0.010310834793945317,0.014252232816502165,0.028888859153352306,0.01609604659508884,0.006211247230002581,0.026909464341715275,0.005676642111634805,0.003320312252744364,0.004405459275765217,0.0018853922715990228,0.020326070741341802,0.02493894491623537,-0.003072187233561778,0.006930044104409147,0.00351244522500608,0.01404032623277185,0.008856045083109878,0.006644483129926833,0.0,0.01571981977770044
2019-01-21,-0.005272350791636535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,-0.012857605980921904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,0.0013377752191245382,0.013303892890882798,0.007109604878020667,-0.005861421538140662,0.0027210755800768914,0.011820551199517889,,0.0,0.00847824866592007,-0.005080850340963715,0.004516664007188796,0.01240063377623806,-0.005369255877382709,0.008365005707959795,0.01588753855916295,0.02234729554316765,-0.008105171621687963,-0.015831612817920827,-0.003953756689896979,-0.01532477197468998,0.006263674375128172,0.013587193956089342,0.011824879988806061,-0.0025290012737987835,-0.00312991669304784,-0.006149669846034121,0.0,0.0034147244772868195,0.007662718087616349,-0.0035923798173449254,0.012220199966406586,0.024662157770563485,-0.00952395066562967,0.006958979745907246,0.003252615256411011,-0.0018468596466421896,0.008464893328161091,0.03856326364941263,0.0,0.0052011247524210045
2019-01-24,-0.008503310859030574,0.015734646876531276,0.0032644780434706836,0.005517586058261117,0.009914528411853618,-0.003531473420775232,,0.002346038746814837,-0.007201589977262894,0.001454350964553739,0.009292203799901174,0.0058511891010226726,0.005856146005284178,-0.00038767256537779616,-0.005267991679050612,-0.02121812610503982,0.005596647277650945,-0.02041977365219126,0.0045604867162238145,-0.0112215218110813,-0.005538768688034932,0.0073950806074526325,-0.01097541485484467,0.0005844003822574674,0.01863405948489325,-0.0023753731061995,0.013220120821542475,-0.0011368192512754263,0.003266174120508042,0.0022974086064370064,-0.0020263781147563838,-0.0073352317455416555,0.0031848090266079336,0.012405440966186105,0.007035359719215369,0.006082421121707581,0.0015313764191202948,0.0,0.0,-0.0027972365340949478
2019-01-25,0.0022447810500258953,0.029904183704776075,0.020963016536131165,0.01704764668335634,0.028295402948657677,0.016374689749153848,,0.012875530453725028,0.04408192094502491,0.0103007380563248,0.020674447022476134,0.020214328186854418,0.013293440245805163,0.011560941640911562,0.029490506426267667,0.0419951996261255,0.007090613143025233,0.03520362432421366,0.014753934250380728,-0.0011089941301783276,0.01080826891970445,0.01923770653777562,0.030102558654832412,0.006306605056553935,0.0030722223467204574,0.02187567352497547,0.0037453798296125176,0.016920914350239902,0.0054201255945103945,0.010874921050933406,0.018090775776582337,0.009768221981951795,0.040504130864750756,0.008185567974486259,0.01833884015253125,0.011691852131641792,0.002292724426460238,0.021960804127055363,0.0,0.0029968734346415248
2019-01-28,-0.008556642260182244,-0.01441321602316974,-0.0074749288541165705,0.001689135555080295,-0.006999164474940454,-0.01755462440496012,,-0.007376383517324749,-0.008170065668678606,0.0010781940765276724,-0.0026590994676358366,0.0005716456829157677,0.0003599181746893535,-0.005763715341566331,-0.012037952719423303,0.0032415269008760858,-0.002357734837136977,-0.02225842500280041,-0.005093807547968907,-0.00993413068873482,-0.005749784866300796,-0.011897120757601999,-0.0008238411941532043,0.0047279264469732105,-0.012345849195497033,-0.007707792995830022,-0.005623246511281491,-0.006734333716661195,-0.0010816579788939938,0.0014675775614955756,-0.008000122356774417,0.002427085159009469,-0.012288994406879897,-0.0013596622464588982,-0.015398727320238819,0.002720483219790982,-0.004590524925825401,-0.0203174850126725,0.0,-0.006203312278047747
2019-01-29,-0.004987405078292709,0.005959944215585654,-0.016207417722007695,-0.008133174299183145,0.004380233380986326,-0.001181548745178319,,0.002464702151497522,-0.006584479367179184,0.007158271913437664,-0.010073941245706782,0.009101347225624291,0.005385598991419444,-0.010459189557184364,-0.008688203382759685,-0.0043244762784151345,-0.015252671125428876,-0.0032205591204953125,0.0038974052890495435,-0.017055882694156338,0.010991802031208468,0.005305125701274306,-0.00827839816878487,0.0027880146972013423,0.006191936857730193,-0.0037582758996789483,-0.0018814967361652226,-0.015891217525124356,-0.01636695594177562,0.002796145899012942,-0.006041995096051991,-0.027028569802575744,-0.009317006760500884,0.002717342250906551,-0.012661928648990555,0.007938092255817692,-0.002303382106491472,-0.004113631104000582,-0.01365022869120846,0.0006020202892663258
2019-01-30,0.0013626185138872668,0.0,0.010295231152536501,-0.010947640278228593,0.004361202766391105,0.0023614834009845105,,0.01506654255289083,0.006174254345209832,0.010289276800015635,0.015852353640261108,0.0123804728468427,0.010449084902936612,0.011999541548646422,0.010416808553687701,0.006479631174453977,0.01051979281954065,0.012820637195774228,0.009827236903738311,-0.007906881497832011,0.009460717228320054,0.015748266095393277,0.008278398168784906,0.0023012026740525703,0.009216725035495008,0.014121092070046085,0.011236147534430542,0.012507308189222476,0.013115041983582376,0.011501213321280143,-0.015504441117445394,0.02824007387885641,0.006220938996415193,0.00810820444764265,0.005506515108600333,0.0076972569660773114,0.014498610261641688,-0.0008247607613026056,0.0,0.004802878909034283
