bank_id,total_assets_bln,total_equity_bln,tier_1_capital_ratio
JPM,3875.39,327.87,15.0
BAC,3180.0,293.0,13.3
C,2393.0,201.0,13.7
WFC,1885.0,186.0,12.1
GS,1641.59,116.7,14.4
MS,1193.69,90.29,17.1
STT,314.5,12.0,17.1
BK,409.95,36.53,14.2
HSBC,3038.0,198.0,14.8
BCS,1894.0,89.0,13.5
DB,1422.0,78.0,13.7
BNPQY,2855.0,131.0,13.2
SCGLY,1690.0,71.0,13.1
UBS,1717.0,85.0,14.4
ING,1070.0,62.0,15.3
SAN,1950.0,105.0,12.3
UNCFF,930.0,68.0,15.8
NRDEF,635.0,32.0,17.0
